Timestamp,Class,Confidence,Pos_X,Pos_Y,Altitude_M,Snapshot_File
20260909_132729_393,person,0.45,0.38,-0.20,12.85,person_20260909_132729_393.jpg
20260909_132732_891,person,0.56,2.10,-0.88,13.26,person_20260909_132732_891.jpg
20260909_132734_401,car,0.62,3.50,-0.91,13.33,car_20260909_132734_401.jpg
20260909_132736_099,car,0.49,5.52,-0.90,13.23,car_20260909_132736_099.jpg
20260909_132737_760,car,0.58,7.68,-0.87,13.15,car_20260909_132737_760.jpg
20260909_132739_450,car,0.68,10.12,-0.80,13.12,car_20260909_132739_450.jpg
20260909_132741_111,car,0.59,12.56,-0.73,13.11,car_20260909_132741_111.jpg
20260909_132742_735,car,0.62,15.01,-0.64,13.10,car_20260909_132742_735.jpg
20260909_132744_413,car,0.51,17.48,-0.54,13.10,car_20260909_132744_413.jpg
20260909_132746_079,car,0.79,19.97,-0.43,13.09,car_20260909_132746_079.jpg
20260909_132747_838,car,0.70,22.54,-0.31,13.09,car_20260909_132747_838.jpg
20260909_132749_656,car,0.58,25.16,-0.17,13.04,car_20260909_132749_656.jpg
20260909_132752_859,car,0.71,25.95,-0.17,13.02,car_20260909_132752_859.jpg
20260909_132754_394,car,0.67,26.77,-0.10,13.10,car_20260909_132754_394.jpg
20260909_132757_593,car,0.53,28.09,-0.06,13.03,car_20260909_132757_593.jpg
20260909_132801_841,car,0.69,28.69,-0.04,13.15,car_20260909_132801_841.jpg
20260909_132806_576,car,0.46,29.25,0.04,13.25,car_20260909_132806_576.jpg
20260909_132815_583,car,0.62,31.62,3.17,14.58,car_20260909_132815_583.jpg
20260909_132817_116,car,0.51,31.87,4.42,14.53,car_20260909_132817_116.jpg
20260909_132819_510,car,0.54,31.72,7.81,14.49,car_20260909_132819_510.jpg
20260909_132825_287,car,0.56,31.09,11.42,14.42,car_20260909_132825_287.jpg
20260909_132844_460,car,0.49,30.78,18.84,14.31,car_20260909_132844_460.jpg
20260909_132848_151,car,0.47,30.81,20.94,14.22,car_20260909_132848_151.jpg
